date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:56:56	1002/1002	---M-Z	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:56:17%20GMT	https://demo.w3layouts.com/robots.txt		(from )
11:56:58	37761/37761	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:56:18%20GMT	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/index.html	(from )
11:57:00	178152/178152	---M-Z	200	added ('OK')	text/css	etag:%221558010699%22	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/css/bootstrap.css	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/css/bootstrap.css	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:01	37019/37019	---M-Z	200	added ('OK')	text/css	etag:%221558010699%22	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/css/style.css	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/css/style.css	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:01	14226/14226	---M-Z	200	added ('OK')	text/css	etag:%221558010699%22	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/css/slider.css	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/css/slider.css	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:02	37414/37414	---M-Z	200	added ('OK')	text/css	etag:%221558010699%22	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/css/font-awesome.css	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/css/font-awesome.css	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:06	60657/60657	---MCZ	200	added ('OK')	application/javascript	etag:W/%223bed8b6882854db4bf35cf1d5c241cb4%22	http://m.servedby-buysellads.com/monetization.js	C:/Mes%20Sites%20Web/dddddddddd/m.servedby-buysellads.com/monetization.js	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:07	93100/93100	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	C:/Mes%20Sites%20Web/dddddddddd/ajax.googleapis.com/ajax/libs/jquery/1.10.2/jquery.min.js	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:07	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2014%20Aug%202020%2009:56:26%20GMT	https://codefund.io/properties/441/funder.js	C:/Mes%20Sites%20Web/dddddddddd/codefund.io/properties/441/funder.6.delayed	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:08	24793/24793	---M-Z	200	added ('OK')	application/javascript	etag:%221570541238%22	https://demo.w3layouts.com/js/autotrack.js	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/js/autotrack.js	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:08	3159/3159	---M-Z	200	added ('OK')	text/css	etag:%221575469126%22	https://demo.w3layouts.com/images/demobar_w3_4thDec2019.css	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/images/demobar_w3_4thDec2019.css	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:11	37761/37761	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:56:30%20GMT	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/index.html	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/index-2.html	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:13	35847/35847	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:56:33%20GMT	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/about.html	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/about.html	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:14	29376/29376	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:56:35%20GMT	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/blog.html	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/blog.html	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:16	20491/20491	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:56:37%20GMT	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/contact.html	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/contact.html	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:18	42806/42806	---MCZ	200	added ('OK')	text/html	date:Fri,%2014%20Aug%202020%2009:56:38%20GMT	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/single.html	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/single.html	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:19	87282/87282	---M--	200	added ('OK')	image/jpeg	etag:%221573816451%22	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/images/ab.jpg	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/images/ab.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:21	57270/57270	---M--	200	added ('OK')	image/jpeg	etag:%221573816450%22	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/images/skill1.jpg	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/images/skill1.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
11:57:21	70879/70879	---M--	200	added ('OK')	image/jpeg	etag:%221573816451%22	https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/images/skill2.jpg	C:/Mes%20Sites%20Web/dddddddddd/demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/images/skill2.jpg	(from https://demo.w3layouts.com/demos_new/template_demo/16-05-2019/repay_demo_Free/669056280/web/)
