date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:46:14	327/327	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Aug%202020%2021:46:15%20GMT	http://swlabs.co/robots.txt		(from )
23:46:16	60183/60183	---M--	200	added ('OK')	text/html	date:Wed,%2022%20Oct%202014%2001:43:40%20GMT	http://swlabs.co/madmin/code/	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/index.html	(from )
23:46:16	353/353	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Aug%202020%2021:46:18%20GMT	http://swlabs.co/madmin/code/images/icons/favicon.ico	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/images/icons/favicon.ico	(from http://swlabs.co/madmin/code/)
23:46:17	353/353	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Aug%202020%2021:46:19%20GMT	http://swlabs.co/madmin/code/images/icons/favicon.png	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/images/icons/favicon.png	(from http://swlabs.co/madmin/code/)
23:46:17	359/359	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Aug%202020%2021:46:19%20GMT	http://swlabs.co/madmin/code/images/icons/favicon-72x72.png	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/images/icons/favicon-72x72.png	(from http://swlabs.co/madmin/code/)
23:46:18	361/361	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2019%20Aug%202020%2021:46:20%20GMT	http://swlabs.co/madmin/code/images/icons/favicon-114x114.png	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/images/icons/favicon-114x114.png	(from http://swlabs.co/madmin/code/)
23:46:20	27276/27276	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Oct%202014%2001:53:05%20GMT	http://swlabs.co/madmin/code/vendors/jquery-ui-1.10.4.custom/css/ui-lightness/jquery-ui-1.10.4.custom.min.css	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/vendors/jquery-ui-1.10.4.custom/css/ui-lightness/jquery-ui-1.10.4.custom.min.css	(from http://swlabs.co/madmin/code/)
23:46:20	20766/20766	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Oct%202014%2001:49:10%20GMT	http://swlabs.co/madmin/code/vendors/font-awesome/css/font-awesome.min.css	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/vendors/font-awesome/css/font-awesome.min.css	(from http://swlabs.co/madmin/code/)
23:46:21	7689/7689	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Oct%202014%2001:46:55%20GMT	http://swlabs.co/madmin/code/vendors/intro.js/introjs.css	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/vendors/intro.js/introjs.css	(from http://swlabs.co/madmin/code/)
23:46:23	2879/2879	---M--	200	added ('OK')	text/css	date:Wed,%2022%20Oct%202014%2001:46:35%20GMT	http://swlabs.co/madmin/code/vendors/calendar/zabuto_calendar.min.css	C:/Users/mukan/Documents/madmin/swlabs.co/madmin/code/vendors/calendar/zabuto_calendar.min.css	(from http://swlabs.co/madmin/code/)
